Dates,BTC-USD_close,BTC-USD_volume,BTC-USD_100pma,LTC-USD_close,LTC-USD_volume,LTC-USD_100pma,ETH-USD_date,ETH-USD_close,ETH-USD_volume,ETH-USD_100pma,BTC-USD_future,LTC-USD_future,ETH-USD_future,BTC-USD_target,LTC-USD_target,ETH-USD_target
2016-07-30,621.8699951171875,39918066,621.8699951171875,3.940000057220459,404473,3.940000057220459,2016-07-30,11.859999656677246,3358462,11.859999656677246,607.0,3.880000114440918,11.039999961853027,0,0,0
2016-07-31,607.0,41229298,614.4349975585938,3.880000114440918,430772,3.9100000858306885,2016-07-31,11.039999961853027,3610696,11.449999809265137,513.4299926757812,3.5,8.300000190734863,0,0,0
2016-08-01,513.4299926757812,75338595,580.7666625976562,3.5,1039767,3.7733333905537925,2016-08-01,8.300000190734863,10863339,10.399999936421713,566.4400024414062,3.700000047683716,10.420000076293945,1,1,1
2016-08-02,566.4400024414062,47170751,577.1849975585938,3.700000047683716,405037,3.755000054836273,2016-08-02,10.420000076293945,4834647,10.40499997138977,576.219970703125,3.7200000286102295,11.210000038146973,1,1,1
2016-08-03,576.219970703125,25725471,576.9919921875,3.7200000286102295,204086,3.7480000495910644,2016-08-03,11.210000038146973,2985961,10.565999984741211,574.6599731445312,3.700000047683716,11.050000190734863,0,0,0
2016-08-04,574.6599731445312,15992890,576.6033223470052,3.700000047683716,145391,3.740000049273173,2016-08-04,11.050000190734863,1126449,10.646666685740152,586.4500122070312,3.759999990463257,10.949999809265137,1,1,0
2016-08-05,586.4500122070312,14676841,578.009992327009,3.759999990463257,205068,3.742857183728899,2016-08-05,10.949999809265137,1043336,10.689999989100865,590.8499755859375,3.759999990463257,10.979999542236328,1,0,1
2016-08-06,590.8499755859375,15491523,579.614990234375,3.759999990463257,197479,3.745000034570694,2016-08-06,10.979999542236328,1377540,10.726249933242798,589.239990234375,3.7799999713897705,11.289999961853027,0,1,1
2016-08-07,589.239990234375,14726811,580.6844346788195,3.7799999713897705,164160,3.7488889164394803,2016-08-07,11.289999961853027,2281375,10.7888888253106,585.25,3.740000009536743,12.220000267028809,0,0,1
2016-08-08,585.25,15304277,581.1409912109375,3.740000009536743,193166,3.7480000257492065,2016-08-08,12.220000267028809,4071702,10.931999969482423,590.9400024414062,3.75,12.220000267028809,1,1,0
2016-08-09,590.9400024414062,29376783,582.0318104137074,3.75,439688,3.748181841590188,2016-08-09,12.220000267028809,5255819,11.049090905623002,587.8400268554688,3.75,11.680000305175781,0,0,0
2016-08-10,587.8400268554688,23640952,582.5158284505209,3.75,422731,3.7483333547910056,2016-08-10,11.680000305175781,3016560,11.101666688919067,587.1400146484375,3.7100000381469727,11.779999732971191,0,0,1
2016-08-11,587.1400146484375,15009452,582.8715350811298,3.7100000381469727,388961,3.74538463812608,2016-08-11,11.779999732971191,2065414,11.153846153846153,584.5900268554688,3.7100000381469727,11.5600004196167,0,0,0
2016-08-12,584.5900268554688,11357750,582.9942844935825,3.7100000381469727,484446,3.7428571666990007,2016-08-12,11.5600004196167,1193514,11.182857172829765,569.0599975585938,3.619999885559082,11.210000038146973,0,0,0
2016-08-13,569.0599975585938,18970094,582.06533203125,3.619999885559082,317684,3.734666681289673,2016-08-13,11.210000038146973,1638525,11.184666697184245,566.9500122070312,3.5799999237060547,11.210000038146973,0,0,0
2016-08-14,566.9500122070312,19218972,581.1206245422363,3.5799999237060547,465920,3.7250000089406967,2016-08-14,11.210000038146973,1373317,11.186250030994415,580.1900024414062,3.630000114440918,11.170000076293945,1,1,0
2016-08-15,580.1900024414062,21634083,581.0658820657169,3.630000114440918,297997,3.7194117798524746,2016-08-15,11.170000076293945,1261077,11.185294151306152,572.3400268554688,3.5899999141693115,10.770000457763672,0,0,0
2016-08-16,572.3400268554688,18886741,580.5811123318142,3.5899999141693115,268121,3.7122222317589655,2016-08-16,10.770000457763672,2530514,11.16222227944268,573.3900146484375,3.5999999046325684,10.770000457763672,1,1,0
2016-08-17,573.3900146484375,17509679,580.2026335063733,3.5999999046325684,185001,3.706315793489155,2016-08-17,10.770000457763672,1436468,11.141579025670103,574.5599975585938,3.5999999046325684,10.710000038146973,1,0,0
2016-08-18,574.5599975585938,14701426,579.9205017089844,3.5999999046325684,120222,3.7009999990463256,2016-08-18,10.710000038146973,977152,11.120000076293945,582.6099853515625,3.609999895095825,11.279999732971191,1,1,1
2016-08-19,582.6099853515625,13416843,580.048572358631,3.609999895095825,118537,3.6966666607629683,2016-08-19,11.279999732971191,1576304,11.127619107564291,580.6599731445312,3.609999895095825,11.140000343322754,0,0,0
2016-08-20,580.6599731445312,8294321,580.0763633034446,3.609999895095825,133942,3.6927272623235528,2016-08-20,11.140000343322754,548398,11.128181891007857,587.469970703125,3.6600000858306885,11.069999694824219,1,1,0
2016-08-21,587.469970703125,19658058,580.397824494735,3.6600000858306885,373663,3.6913043416064717,2016-08-21,11.069999694824219,1196884,11.12565223030422,583.5599975585938,3.940000057220459,11.010000228881836,0,1,0
2016-08-22,583.5599975585938,18772369,580.5295817057291,3.940000057220459,1649768,3.701666663090388,2016-08-22,11.010000228881836,1117682,11.120833396911621,579.6599731445312,3.8399999141693115,11.010000228881836,0,0,0
2016-08-23,579.6599731445312,16337141,580.4947973632812,3.8399999141693115,578504,3.707199993133545,2016-08-23,11.010000228881836,739274,11.11640007019043,577.9600219726562,3.7899999618530273,11.350000381469727,0,0,1
2016-08-24,577.9600219726562,18885349,580.3973060021034,3.7899999618530273,421763,3.7103846073150635,2016-08-24,11.350000381469727,1230358,11.125384697547325,579.3699951171875,3.809999942779541,11.260000228881836,1,1,0
2016-08-25,579.3699951171875,12329289,580.3592574508102,3.809999942779541,341316,3.714074064184118,2016-08-25,11.260000228881836,847110,11.130370457967123,570.3499755859375,3.740000009536743,11.1899995803833,0,0,0
2016-08-26,570.3499755859375,10747219,580.0017830984933,3.740000009536743,235694,3.7149999908038547,2016-08-26,11.1899995803833,485209,11.132500069481987,574.97998046875,3.7300000190734863,10.989999771118164,1,0,0
2016-08-27,574.97998046875,7377921,579.8286174905711,3.7300000190734863,196733,3.71551723315798,2016-08-27,10.989999771118164,793760,11.12758626609013,574.22998046875,3.7699999809265137,10.949999809265137,0,1,0
2016-08-28,574.22998046875,13760854,579.6419962565104,3.7699999809265137,260056,3.7173333247502645,2016-08-28,10.949999809265137,1106816,11.121666717529298,577.3200073242188,3.799999952316284,11.210000038146973,1,1,1
